from,to,weight
Platzeck,11,1
Pofalla,9,3
Pofalla,5,2
Praetorius,7,2
Tillich,9,2
Hasselfeldt,10,2
Hasselfeldt,2,3
Kampeter,2,3
Kampeter,9,1
Kapferer,13,2
Kapferer,2,3
Kempf,2,3
Nemat,5,3
Reiche,2,3
Reiche,9,1
Roestel,6,3
Roestel,12,1
Schweitzer,13,1
Schweitzer,3,3
Grothus,4,2
Wodtke,9,2
Wodtke,4,2
Herntier,8,3
Kreuzberg,9,2
Priggen,12,2
Priggen,2,3
Vassiliadis,3,3
Vassiliadis,11,2
Scheidt,3,2
Scheidt,11,2
Koerzell,11,2
Koerzell,3,3
Kaiser,4,3
Weiger,4,3
Niebert,2,3
Allmendinger,7,3
Matthes,7,2
Schellnhuber,7,3
Niebuhr,7,2
Wehrsphon,7,3
Laemmel,9,2
Lenz,10,2
Mierisch,11,2