id,name,type,party,age,sex
Platzeck,Platzeck,0,11,5,m
11,SPD,1,NA,NA,NA
Pofalla,Pofalla,0,9,5,m
9,CDU,1,NA,NA,NA
5,Industrie,1,NA,NA,NA
Praetorius,Praetorius,0,NA,NA,w
7,Wissenschaft,1,NA,NA,NA
Tillich,Tillich,0,9,5,m
Hasselfeldt,Hasselfeldt,0,10,4,w
10,CSU,1,NA,NA,NA
2,Verband,1,NA,NA,NA
Kampeter,Kampeter,0,1,3,m
Kapferer,Kapferer,0,13,3,m
13,FDP,1,NA,NA,NA
Kempf,Kempf,0,NA,4,m
Nemat,Nemat,0,NA,2,w
Reiche,Reiche,0,9,2,w
Roestel,Roestel,0,12,3,w
6,Energieunternehmen,1,NA,NA,NA
12,Gruene,1,NA,NA,NA
Schweitzer,Schweitzer,0,13,3,m
3,Gewerkschaft,1,NA,NA,NA
Grothus,Grothus,0,NA,NA,w
4,Umweltschutz,1,NA,NA,NA
Wodtke,Wodtke,0,9,NA,w
Herntier,Herntier,0,NA,4,w
8,Regionalvertreterin,1,NA,NA,NA
Kreuzberg,Kreuzberg,0,9,3,m
Priggen,Priggen,0,12,4,m
Vassiliadis,Vassiliadis,0,11,3,m
Scheidt,Scheidt,0,11,3,m
Koerzell,Koerzell,0,11,3,m
Kaiser,Kaiser,0,NA,3,m
Weiger,Weiger,0,NA,5,m
Niebert,Niebert,0,NA,1,m
Allmendinger,Allmendinger,0,NA,4,w
Matthes,Matthes,0,NA,3,m
Schellnhuber,Schellnhuber,0,NA,4,m
Niebuhr,Niebuhr,0,NA,NA,w
Wehrsphon,Wehrsphon,0,NA,2,m
Laemmel,Laemmell,0,9,3,m
Lenz,Lenz,0,10,1,m
Mierisch,Mierisch,0,11,2,m